,Airline,Departure,Arrivals,Aircraft,Distance
0,Aegean Airlines,TIA,ATH,32N,529
1,Aegean Airlines,EVN,ATH,32N,1779
2,Aegean Airlines,VIE,ATH,320,1279
3,Aegean Airlines,BRU,ATH,320,2101
4,Aegean Airlines,SOF,ATH,320,531
5,Aegean Airlines,LCA,ATH,32N,930
6,Aegean Airlines,LCA,SKG,32N,1127
7,Aegean Airlines,PFO,ATH,320,844
8,Aegean Airlines,PRG,ATH,,1556
9,Aegean Airlines,CPH,ATH,,2140
10,Aegean Airlines,NCE,ATH,320,1542
11,Aegean Airlines,CDG,ATH,32Q,2108
12,Aegean Airlines,TBS,ATH,32Q,1837
13,Aegean Airlines,BER,ATH,32Q,1797
14,Aegean Airlines,BER,SKG,320,1500
15,Aegean Airlines,DUS,ATH,320,2003
16,Aegean Airlines,DUS,SKG,32N,1727
17,Aegean Airlines,FRA,ATH,32Q,1817
18,Aegean Airlines,FRA,SKG,32Q,1542
19,Aegean Airlines,HAM,ATH,320,2045
20,Aegean Airlines,MUC,ATH,320,1518
21,Aegean Airlines,MUC,SKG,32N,1241
22,Aegean Airlines,STR,ATH,320,1682
23,Aegean Airlines,STR,SKG,32N,1414
24,Aegean Airlines,AXD,ATH,320,368
25,Aegean Airlines,ATH,TIA,32N,529
26,Aegean Airlines,ATH,EVN,32N,1779
27,Aegean Airlines,ATH,VIE,320,1279
28,Aegean Airlines,ATH,BRU,320,2101
29,Aegean Airlines,ATH,SOF,320,531
30,Aegean Airlines,ATH,LCA,32N,930
31,Aegean Airlines,ATH,PFO,320,844
32,Aegean Airlines,ATH,CPH,,2140
33,Aegean Airlines,ATH,NCE,320,1542
34,Aegean Airlines,ATH,CDG,32Q,2108
35,Aegean Airlines,ATH,TBS,32Q,1837
36,Aegean Airlines,ATH,BER,32Q,1797
37,Aegean Airlines,ATH,DUS,320,2003
38,Aegean Airlines,ATH,FRA,32Q,1817
39,Aegean Airlines,ATH,HAM,320,2045
40,Aegean Airlines,ATH,MUC,320,1518
41,Aegean Airlines,ATH,STR,320,1682
42,Aegean Airlines,ATH,AXD,320,368
43,Aegean Airlines,ATH,CHQ,320,268
44,Aegean Airlines,ATH,CFU,AT7,396
45,Aegean Airlines,ATH,HER,320,309
46,Aegean Airlines,ATH,KGS,AT7,306
47,Aegean Airlines,ATH,JMK,AT7,135
48,Aegean Airlines,ATH,MJT,AT7,262
49,Aegean Airlines,ATH,RHO,321,404
50,Aegean Airlines,ATH,JTR,AT7,218
51,Aegean Airlines,ATH,SKG,320,299
52,Aegean Airlines,ATH,BUD,320,1123
53,Aegean Airlines,ATH,BLQ,320,1285
54,Aegean Airlines,ATH,MXP,320,1520
55,Aegean Airlines,ATH,FCO,32Q,1085
56,Aegean Airlines,ATH,VCE,,1276
57,Aegean Airlines,ATH,LUX,320,1919
58,Aegean Airlines,ATH,MLA,320,873
59,Aegean Airlines,ATH,TGD,,633
60,Aegean Airlines,ATH,AMS,32Q,2182
61,Aegean Airlines,ATH,WAW,320,1599
62,Aegean Airlines,ATH,LIS,32Q,2870
63,Aegean Airlines,ATH,OTP,32Q,759
64,Aegean Airlines,ATH,BEG,320,823
65,Aegean Airlines,ATH,BCN,32Q,1904
66,Aegean Airlines,ATH,MAD,32Q,2378
67,Aegean Airlines,ATH,ARN,320,2452
68,Aegean Airlines,ATH,GVA,320,1731
69,Aegean Airlines,ATH,ZRH,321,1639
70,Aegean Airlines,ATH,EDI,32N,2848
71,Aegean Airlines,ATH,LGW,32N,2393
72,Aegean Airlines,ATH,LHR,32N,2427
73,Aegean Airlines,ATH,MAN,32N,2637
74,Aegean Airlines,CHQ,ATH,320,268
75,Aegean Airlines,HER,ATH,320,309
76,Aegean Airlines,CFU,ATH,AT7,396
77,Aegean Airlines,KGS,ATH,AT7,306
78,Aegean Airlines,JMK,ATH,AT7,135
79,Aegean Airlines,MJT,ATH,AT7,262
80,Aegean Airlines,RHO,ATH,321,404
81,Aegean Airlines,JTR,ATH,AT7,218
82,Aegean Airlines,SKG,LCA,32N,1127
83,Aegean Airlines,SKG,BER,320,1500
84,Aegean Airlines,SKG,DUS,32N,1727
85,Aegean Airlines,SKG,FRA,32Q,1542
86,Aegean Airlines,SKG,MUC,32N,1241
87,Aegean Airlines,SKG,STR,32N,1414
88,Aegean Airlines,SKG,ATH,320,299
89,Aegean Airlines,SKG,MXP,320,1286
90,Aegean Airlines,SKG,FCO,32N,908
91,Aegean Airlines,BUD,ATH,320,1123
92,Aegean Airlines,BLQ,ATH,320,1285
93,Aegean Airlines,MXP,ATH,320,1520
94,Aegean Airlines,MXP,SKG,320,1286
95,Aegean Airlines,FCO,ATH,32Q,1085
96,Aegean Airlines,FCO,SKG,32N,908
97,Aegean Airlines,VCE,ATH,,1276
98,Aegean Airlines,LUX,ATH,320,1919
99,Aegean Airlines,MLA,ATH,320,873
100,Aegean Airlines,TGD,ATH,,633
101,Aegean Airlines,AMS,ATH,32Q,2182
102,Aegean Airlines,WAW,ATH,320,1599
103,Aegean Airlines,LIS,ATH,32Q,2870
104,Aegean Airlines,OTP,ATH,32Q,759
105,Aegean Airlines,BEG,ATH,320,823
